date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
03/06/26,14,away,3614,3379,1:0,7,FS,played,0,0,0,03/06/26 | FS | club:3614 | opponent:3379 | 1:0 | played | 45',False,False,True,45.0,True,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
31/03/26,42,away,3614,3449,0:0,10,FS,played,0,0,0,31/03/26 | FS | club:3614 | opponent:3449 | 0:0 | played | 65',False,False,True,65.0,True,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
27/03/26,41,away,3614,13342,7:0,10,FS,played,1,1,0,27/03/26 | FS | club:3614 | opponent:13342 | 7:0 | played | 69',False,False,True,69.0,True,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
10/01/26,5,away,3614,3444,0:2,,AFCN,injured,0,0,0,10/01/26 | AFCN | club:3614 | opponent:3444 | 0:2 | injured,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
06/01/26,4,away,3614,3854,1:0,,AFCN,injured,0,0,0,06/01/26 | AFCN | club:3614 | opponent:3854 | 1:0 | injured,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
31/12/25,3,away,3614,13485,3:1,,AFCN,injured,0,0,0,31/12/25 | AFCN | club:3614 | opponent:13485 | 3:1 | injured,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
28/12/25,2,away,3614,5872,1:0,,AFCN,injured,0,0,0,28/12/25 | AFCN | club:3614 | opponent:5872 | 1:0 | injured,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
24/12/25,1,away,3614,13313,3:0,,AFCN,injured,0,0,0,24/12/25 | AFCN | club:3614 | opponent:13313 | 3:0 | injured,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
12/12/25,4,neutral,3614,5147,7:8,,ARCP,not in squad,0,0,0,12/12/25 | ARCP | club:3614 | opponent:5147 | 7:8 | not in squad,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
09/12/25,3,away,3614,3560,2:0,,ARCP,not in squad,0,0,0,09/12/25 | ARCP | club:3614 | opponent:3560 | 2:0 | not in squad,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
06/12/25,2,away,3614,7214,5:1,,ARCP,not in squad,0,0,0,06/12/25 | ARCP | club:3614 | opponent:7214 | 5:1 | not in squad,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
03/12/25,1,neutral,3614,13313,0:0,,ARCP,not in squad,0,0,0,03/12/25 | ARCP | club:3614 | opponent:13313 | 0:0 | not in squad,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
18/11/25,6,away,3614,3807,2:0,10,FS,played,0,0,0,18/11/25 | FS | club:3614 | opponent:3807 | 2:0 | played | 78',False,False,True,78.0,True,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
13/11/25,5,home,3614,3583,3:1,,FS,in squad,0,0,0,13/11/25 | FS | club:3614 | opponent:3583 | 3:1 | in squad,False,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
14/10/25,10,home,3614,13497,2:1,,WMQ2,not in squad,0,0,0,14/10/25 | WMQ2 | club:3614 | opponent:13497 | 2:1 | not in squad,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
09/10/25,9,home,3614,13974,3:0,,WMQ2,not in squad,0,0,0,09/10/25 | WMQ2 | club:3614 | opponent:13974 | 3:0 | not in squad,True,False,False,,False,houssem_aouar__alg,Houssem Aouar,ALG,MID,395693,https://www.transfermarkt.de/houssem-aouar/nationalmannschaft/spieler/395693/verein_id/3614
