date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
14/10/25,3,away,3581,3589,0:2,12,FS,played,0,0,0,14/10/25 | FS | club:3581 | opponent:3589 | 0:2 | played | 62',False,False,True,62.0,True,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
10/10/25,5,away,3581,3435,2:2,,FS,played,0,0,0,10/10/25 | FS | club:3581 | opponent:3435 | 2:2 | played | 11',False,False,True,11.0,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
09/09/25,18,away,3581,3584,1:0,,WMQ4,not in squad,0,0,0,09/09/25 | WMQ4 | club:3581 | opponent:3584 | 1:0 | not in squad,True,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
04/09/25,17,home,3581,5750,0:0,,WMQ4,not in squad,0,0,0,04/09/25 | WMQ4 | club:3581 | opponent:5750 | 0:0 | not in squad,True,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
11/06/25,16,away,3581,3439,0:1,,WMQ4,not in squad,0,0,0,11/06/25 | WMQ4 | club:3581 | opponent:3439 | 0:1 | not in squad,True,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
05/06/25,15,home,3581,3449,2:0,,WMQ4,not in squad,0,0,0,05/06/25 | WMQ4 | club:3581 | opponent:3449 | 2:0 | not in squad,True,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
26/03/25,14,away,3581,3816,2:2,,WMQ4,injured,0,0,0,26/03/25 | WMQ4 | club:3581 | opponent:3816 | 2:2 | injured,True,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
20/03/25,13,home,3581,3700,1:0,,WMQ4,injured,0,0,0,20/03/25 | WMQ4 | club:3581 | opponent:3700 | 1:0 | injured,True,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
19/11/24,12,away,3581,5233,2:2,,WMQ4,injured,0,0,0,19/11/24 | WMQ4 | club:3581 | opponent:5233 | 2:2 | injured,True,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
14/11/24,11,home,3581,3437,2:1,,WMQ4,injured,0,0,0,14/11/24 | WMQ4 | club:3581 | opponent:3437 | 2:1 | injured,True,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
15/10/24,10,home,3581,3504,2:1,,WMQ4,in squad,0,0,0,15/10/24 | WMQ4 | club:3581 | opponent:3504 | 2:1 | in squad,False,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
10/10/24,9,away,3581,5750,0:0,,WMQ4,not in squad,0,0,0,10/10/24 | WMQ4 | club:3581 | opponent:5750 | 0:0 | not in squad,True,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
11/09/24,8,home,3581,3439,1:0,12,WMQ4,played,0,0,0,11/09/24 | WMQ4 | club:3581 | opponent:3439 | 1:0 | played | 4',False,False,True,4.0,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
06/09/24,7,away,3581,3449,0:0,,WMQ4,in squad,0,0,0,06/09/24 | WMQ4 | club:3581 | opponent:3449 | 0:0 | in squad,False,False,False,,False,hugo_cuenca__par,Hugo Cuenca,PAR,MID,906315,https://www.transfermarkt.de/hugo-cuenca/nationalmannschaft/spieler/906315/verein_id/3581
