date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
01/04/26,8,away,6303,3382,1:1,,FS,in squad,0,0,0,01/04/26 | FS | club:6303 | opponent:3382 | 1:1 | in squad,False,False,False,,False,jesus_angulo__mex,Jesus Angulo,MEX,DEF,312568,https://www.transfermarkt.de/jesus-angulo/nationalmannschaft/spieler/312568/verein_id/6303
29/03/26,7,home,6303,3300,0:0,,FS,in squad,0,0,0,29/03/26 | FS | club:6303 | opponent:3300 | 0:0 | in squad,False,False,False,,False,jesus_angulo__mex,Jesus Angulo,MEX,DEF,312568,https://www.transfermarkt.de/jesus-angulo/nationalmannschaft/spieler/312568/verein_id/6303
26/02/26,31,home,6303,3574,4:0,,FS,not in squad,0,0,0,26/02/26 | FS | club:6303 | opponent:3574 | 4:0 | not in squad,True,False,False,,False,jesus_angulo__mex,Jesus Angulo,MEX,DEF,312568,https://www.transfermarkt.de/jesus-angulo/nationalmannschaft/spieler/312568/verein_id/6303
25/01/26,30,away,6303,5233,1:0,,FS,not in squad,0,0,0,25/01/26 | FS | club:6303 | opponent:5233 | 1:0 | not in squad,True,False,False,,False,jesus_angulo__mex,Jesus Angulo,MEX,DEF,312568,https://www.transfermarkt.de/jesus-angulo/nationalmannschaft/spieler/312568/verein_id/6303
23/01/26,52,away,6303,3577,1:0,,FS,not in squad,0,0,0,23/01/26 | FS | club:6303 | opponent:3577 | 1:0 | not in squad,True,False,False,,False,jesus_angulo__mex,Jesus Angulo,MEX,DEF,312568,https://www.transfermarkt.de/jesus-angulo/nationalmannschaft/spieler/312568/verein_id/6303
19/11/25,6,away,6303,3581,1:2,,FS,not in squad,0,0,0,19/11/25 | FS | club:6303 | opponent:3581 | 1:2 | not in squad,True,False,False,,False,jesus_angulo__mex,Jesus Angulo,MEX,DEF,312568,https://www.transfermarkt.de/jesus-angulo/nationalmannschaft/spieler/312568/verein_id/6303
16/11/25,6,home,6303,3449,0:0,,FS,not in squad,0,0,0,16/11/25 | FS | club:6303 | opponent:3449 | 0:0 | not in squad,True,False,False,,False,jesus_angulo__mex,Jesus Angulo,MEX,DEF,312568,https://www.transfermarkt.de/jesus-angulo/nationalmannschaft/spieler/312568/verein_id/6303
15/10/25,4,home,6303,5750,1:1,,FS,not in squad,0,0,0,15/10/25 | FS | club:6303 | opponent:5750 | 1:1 | not in squad,True,False,False,,False,jesus_angulo__mex,Jesus Angulo,MEX,DEF,312568,https://www.transfermarkt.de/jesus-angulo/nationalmannschaft/spieler/312568/verein_id/6303
12/10/25,4,away,6303,3816,0:4,,FS,not in squad,0,0,0,12/10/25 | FS | club:6303 | opponent:3816 | 0:4 | not in squad,True,False,False,,False,jesus_angulo__mex,Jesus Angulo,MEX,DEF,312568,https://www.transfermarkt.de/jesus-angulo/nationalmannschaft/spieler/312568/verein_id/6303
10/09/25,2,away,6303,3589,2:2,,FS,not in squad,0,0,0,10/09/25 | FS | club:6303 | opponent:3589 | 2:2 | not in squad,True,False,False,,False,jesus_angulo__mex,Jesus Angulo,MEX,DEF,312568,https://www.transfermarkt.de/jesus-angulo/nationalmannschaft/spieler/312568/verein_id/6303
