date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
01/06/26,52,home,3381,5148,4:0,1,FS,played,0,0,0,01/06/26 | FS | club:3381 | opponent:5148 | 4:0 | played | 27',False,False,True,27.0,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
11/06/25,8,away,3381,6303,0:1,,FS,in squad,0,0,0,11/06/25 | FS | club:3381 | opponent:6303 | 0:1 | in squad,False,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
07/06/25,52,away,3381,3505,2:1,,FS,in squad,0,0,0,07/06/25 | FS | club:3381 | opponent:3505 | 2:1 | in squad,False,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
23/03/25,2,away,3381,3468,3:0,,UNPO,in squad,0,0,0,23/03/25 | UNPO | club:3381 | opponent:3468 | 3:0 | in squad,False,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
20/03/25,1,home,3381,3468,3:1,,UNPO,in squad,0,0,0,20/03/25 | UNPO | club:3381 | opponent:3468 | 3:1 | in squad,False,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
19/11/24,6,away,3381,11953,1:3,,UNLB,not in squad,0,0,0,19/11/24 | UNLB | club:3381 | opponent:11953 | 1:3 | not in squad,True,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
16/11/24,5,home,3381,3864,0:0,,UNLB,not in squad,0,0,0,16/11/24 | UNLB | club:3381 | opponent:3864 | 0:0 | not in squad,True,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
14/10/24,4,away,3381,3574,4:2,,UNLB,in squad,0,0,0,14/10/24 | UNLB | club:3381 | opponent:3574 | 4:2 | in squad,False,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
11/10/24,3,home,3381,11953,1:0,,UNLB,in squad,0,0,0,11/10/24 | UNLB | club:3381 | opponent:11953 | 1:0 | in squad,False,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
26/03/24,16,away,3381,3383,1:6,,FS,in squad,0,0,0,26/03/24 | FS | club:3381 | opponent:3383 | 1:6 | in squad,False,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
19/06/23,4,home,3381,3864,2:0,,EMQ,in squad,0,0,0,19/06/23 | EMQ | club:3381 | opponent:3864 | 2:0 | in squad,False,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
16/06/23,3,away,3381,3555,3:2,,EMQ,in squad,0,0,0,16/06/23 | EMQ | club:3381 | opponent:3555 | 3:2 | in squad,False,False,False,,False,muhammed_sengezer__tur,Muhammed Sengezer,TUR,GK,330871,https://www.transfermarkt.de/muhammed-sengezer/nationalmannschaft/spieler/330871/verein_id/3381
