date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,42,neutral,3807,5750,1:2,13,FS,played,0,0,0,31/05/26 | FS | club:3807 | opponent:5750 | 1:2 | played | 74',False,False,True,74.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
31/03/26,8,away,3807,3438,1:2,7,FS,played,0,0,0,31/03/26 | FS | club:3807 | opponent:3438 | 1:2 | played | 6',False,False,True,6.0,False,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
27/03/26,42,home,3807,3672,0:4,7,FS,played,0,0,0,27/03/26 | FS | club:3807 | opponent:3672 | 0:4 | played | 45',False,False,True,45.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
18/12/25,6,home,3807,5147,0:0,7,ARCP,played,0,0,0,18/12/25 | ARCP | club:3807 | opponent:5147 | 0:0 | played | 45',False,False,True,45.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
15/12/25,5,away,3807,15737,0:1,10,ARCP,played,0,0,0,15/12/25 | ARCP | club:3807 | opponent:15737 | 0:1 | played | 26',False,False,True,26.0,False,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
11/12/25,4,away,3807,17758,2:1,,ARCP,played,0,0,0,11/12/25 | ARCP | club:3807 | opponent:17758 | 2:1 | played | 41',False,False,True,41.0,False,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
08/12/25,3,away,3807,3575,0:1,7,ARCP,played,0,0,0,08/12/25 | ARCP | club:3807 | opponent:3575 | 0:1 | played | 90',False,False,True,90.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
05/12/25,2,away,3807,16430,3:1,7,ARCP,played,0,0,1,05/12/25 | ARCP | club:3807 | opponent:16430 | 3:1 | played | 81',False,False,True,81.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
02/12/25,1,neutral,3807,14165,2:1,7,ARCP,played,0,0,0,02/12/25 | ARCP | club:3807 | opponent:14165 | 2:1 | played | 14',False,False,True,14.0,False,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
18/11/25,6,home,3807,3614,0:2,7,FS,played,0,0,0,18/11/25 | FS | club:3807 | opponent:3614 | 0:2 | played | 61',False,False,True,61.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
14/11/25,5,home,3807,3591,1:0,,FS,played,0,0,0,14/11/25 | FS | club:3807 | opponent:3591 | 1:0 | played | 30',False,False,True,30.0,False,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
14/10/25,3,home,3807,3560,0:0,10,WMQ1,played,0,0,0,14/10/25 | WMQ1 | club:3807 | opponent:3560 | 0:0 | played | 80',False,False,True,80.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
08/10/25,1,home,3807,13958,3:2,10,WMQ1,played,0,1,0,08/10/25 | WMQ1 | club:3807 | opponent:13958 | 3:2 | played | 89',False,False,True,89.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
08/09/25,2,away,3807,3445,1:1,10,FS,played,0,0,0,08/09/25 | FS | club:3807 | opponent:3445 | 1:1 | played | 66',False,False,True,66.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
04/09/25,1,neutral,3807,5148,2:1,7,FS,played,0,0,0,04/09/25 | FS | club:3807 | opponent:5148 | 2:1 | played | 78',False,False,True,78.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
29/06/25,4,away,3807,6303,0:2,,GOCU,not in squad,0,0,0,29/06/25 | GOCU | club:3807 | opponent:6303 | 0:2 | not in squad,True,False,False,,False,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
22/06/25,3,away,3807,7149,1:1,,GOCU,not in squad,0,0,0,22/06/25 | GOCU | club:3807 | opponent:7149 | 1:1 | not in squad,True,False,False,,False,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
20/06/25,2,away,3807,3505,0:1,,GOCU,not in squad,0,0,0,20/06/25 | GOCU | club:3807 | opponent:3505 | 0:1 | not in squad,True,False,False,,False,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
16/06/25,1,away,3807,14161,1:0,,GOCU,not in squad,0,0,0,16/06/25 | GOCU | club:3807 | opponent:14161 | 1:0 | not in squad,True,False,False,,False,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
10/06/25,18,home,3807,3433,1:2,7,WMQ1,played,0,0,0,10/06/25 | WMQ1 | club:3807 | opponent:3433 | 1:2 | played | 61',False,False,True,61.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
05/06/25,17,away,3807,7214,2:0,7,WMQ1,played,1,0,0,05/06/25 | WMQ1 | club:3807 | opponent:7214 | 2:0 | played | 61',False,False,True,61.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
25/03/25,16,away,3807,3435,0:0,7,WMQ1,played,0,0,0,25/03/25 | WMQ1 | club:3807 | opponent:3435 | 0:0 | played | 61',False,False,True,61.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
20/03/25,15,home,3807,5598,1:0,14,WMQ1,played,0,0,0,20/03/25 | WMQ1 | club:3807 | opponent:5598 | 1:0 | played | 72',False,False,True,72.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
31/12/24,4,away,3807,14165,1:2,7,AGUC,played,0,0,1,31/12/24 | AGUC | club:3807 | opponent:14165 | 1:2 | played | 90',False,False,True,90.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
28/12/24,3,away,3807,3560,3:1,12,AGUC,played,0,0,0,28/12/24 | AGUC | club:3807 | opponent:3560 | 3:1 | played | 90',False,False,True,90.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
25/12/24,2,away,3807,15922,3:2,12,AGUC,played,1,1,0,25/12/24 | AGUC | club:3807 | opponent:15922 | 3:2 | played | 90',False,False,True,90.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
22/12/24,1,away,3807,7214,2:3,7,AGUC,played,1,0,0,22/12/24 | AGUC | club:3807 | opponent:7214 | 2:3 | played | 90',False,False,True,90.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
19/11/24,14,away,3807,13958,0:2,,WMQ1,played,0,0,0,19/11/24 | WMQ1 | club:3807 | opponent:13958 | 0:2 | played | 29',False,False,True,29.0,False,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
14/11/24,13,away,3807,3433,0:0,10,WMQ1,played,0,0,0,14/11/24 | WMQ1 | club:3807 | opponent:3433 | 0:0 | played | 57',False,False,True,57.0,True,musab_al_juwayr__ksa,Musab Al-Juwayr,KSA,MID,901181,https://www.transfermarkt.de/musab-al-juwayr/nationalmannschaft/spieler/901181/verein_id/3807
