player_id,player_name,team_id,position_model,competition_category,competition_category_label,rows,starts,bench,not_in_squad,injury_or_fitness_absences,suspension_absences,not_selected_or_unknown_absences,recency_weight_sum,recent_weighted_starts,recent_weighted_bench,recent_weighted_not_in_squad,start_share,bench_share,not_in_squad_share,recency_weighted_start_share,recency_weighted_bench_share,recency_weighted_not_in_squad_share,competition_weight,weighted_start_signal,recency_competition_weighted_start_signal
aaron_hickey__sco,Aaron Hickey,SCO,DEF,ukendt,Ukendt,46,16,0,24,21,0,3,11.5,4.0,0.0,6.0,0.348,0.0,0.522,0.348,0.0,0.522,0.45,0.1566,0.1566
aaron_wan_bissaka__cod,Aaron Wan-Bissaka,COD,DEF,ukendt,Ukendt,14,10,0,1,0,0,1,3.5,2.5,0.0,0.25,0.714,0.0,0.071,0.714,0.0,0.071,0.45,0.3213,0.3213
abdallah_al_fakhouri__jor,Abdallah Al-Fakhouri,JOR,GK,ukendt,Ukendt,109,7,0,72,7,0,65,27.25,1.75,0.0,18.0,0.064,0.0,0.661,0.064,0.0,0.661,0.45,0.0288,0.0288
abdallah_nasib__jor,Abdallah Nasib,JOR,DEF,ukendt,Ukendt,66,50,0,7,0,0,7,16.5,12.5,0.0,1.75,0.758,0.0,0.106,0.758,0.0,0.106,0.45,0.3411,0.3411
abde_ezzalzouli__mar,Abde Ezzalzouli,MAR,FWD,ukendt,Ukendt,68,21,0,25,11,0,12,17.0,5.25,0.0,6.25,0.309,0.0,0.368,0.309,0.0,0.368,0.45,0.139,0.139
abdel_rahman_al_talalga__jor,Abdel Rahman Al-Talalga,JOR,GK,ukendt,Ukendt,14,7,0,4,0,0,4,3.5,1.75,0.0,1.0,0.5,0.0,0.286,0.5,0.0,0.286,0.45,0.225,0.225
abdelhamid_ait_boudlal__mar,Abdelhamid Ait Boudlal,MAR,DEF,ukendt,Ukendt,2,1,0,1,0,0,1,0.5,0.25,0.0,0.25,0.5,0.0,0.5,0.5,0.0,0.5,0.45,0.225,0.225
abdelmouhib_chamakh__tun,Abdelmouhib Chamakh,TUN,GK,ukendt,Ukendt,3,2,0,0,0,0,0,0.75,0.5,0.0,0.0,0.667,0.0,0.0,0.667,0.0,0.0,0.45,0.3002,0.3002
abdoulaye_seck__sen,Abdoulaye Seck,SEN,DEF,ukendt,Ukendt,82,16,0,29,8,0,21,20.5,4.0,0.0,7.25,0.195,0.0,0.354,0.195,0.0,0.354,0.45,0.0878,0.0878
abdukodir_khusanov__uzb,Abdukodir Khusanov,UZB,DEF,ukendt,Ukendt,41,22,0,14,2,0,10,10.25,5.5,0.0,3.5,0.537,0.0,0.341,0.537,0.0,0.341,0.45,0.2417,0.2417
abdulaziz_hatim_mohammed__qat,Abdulaziz Hatim Mohammed,QAT,MID,ukendt,Ukendt,232,95,0,87,0,0,87,58.0,23.75,0.0,21.75,0.409,0.0,0.375,0.409,0.0,0.375,0.45,0.184,0.184
abdulelah_al_amri__ksa,Abdulelah Al-Amri,KSA,DEF,ukendt,Ukendt,86,30,0,36,9,0,27,21.5,7.5,0.0,9.0,0.349,0.0,0.419,0.349,0.0,0.419,0.45,0.157,0.157
