player_id,player_name,team_id,position_model,tm_competition_rows,tm_competition_starts,tm_weighted_start_signal_sum,tm_recency_competition_weighted_start_signal_sum,tm_competition_weight_sum,tm_weighted_competitive_start_score,tm_recency_weighted_competitive_start_score
a_ssa_mandi__alg,Aissa Mandi,ALG,DEF,165,116,0.3163,0.3163,0.45,0.7029,0.7029
aaron_hickey__sco,Aaron Hickey,SCO,DEF,46,16,0.1566,0.1566,0.45,0.348,0.348
aaron_wan_bissaka__cod,Aaron Wan-Bissaka,COD,DEF,14,10,0.3213,0.3213,0.45,0.714,0.714
abdallah_al_fakhouri__jor,Abdallah Al-Fakhouri,JOR,GK,109,7,0.0288,0.0288,0.45,0.064,0.064
abdallah_nasib__jor,Abdallah Nasib,JOR,DEF,66,50,0.3411,0.3411,0.45,0.758,0.758
abde_ezzalzouli__mar,Abde Ezzalzouli,MAR,FWD,68,21,0.139,0.139,0.45,0.3089,0.3089
abdel_rahman_al_talalga__jor,Abdel Rahman Al-Talalga,JOR,GK,14,7,0.225,0.225,0.45,0.5,0.5
abdelhamid_ait_boudlal__mar,Abdelhamid Ait Boudlal,MAR,DEF,2,1,0.225,0.225,0.45,0.5,0.5
abdelmouhib_chamakh__tun,Abdelmouhib Chamakh,TUN,GK,3,2,0.3002,0.3002,0.45,0.6671,0.6671
abdoulaye_seck__sen,Abdoulaye Seck,SEN,DEF,82,16,0.0878,0.0878,0.45,0.1951,0.1951
abdukodir_khusanov__uzb,Abdukodir Khusanov,UZB,DEF,41,22,0.2417,0.2417,0.45,0.5371,0.5371
abdul_fatawu_issahaku__gha,Issahaku Abdul Fatawu,GHA,FWD,63,16,0.1143,0.1143,0.45,0.254,0.254
abdulaziz_hatim_mohammed__qat,Abdulaziz Hatim Mohammed,QAT,MID,232,95,0.184,0.184,0.45,0.4089,0.4089
abdulelah_al_amri__ksa,Abdulelah Al-Amri,KSA,DEF,86,30,0.157,0.157,0.45,0.3489,0.3489
abdulkerim_bardakci__tur,Abdulkerim Bardakci,TUR,DEF,47,26,0.2488,0.2488,0.45,0.5529,0.5529
abdullah_al_hamdan__ksa,Abdullah Al-Hamdan,KSA,FWD,94,22,0.1053,0.1053,0.45,0.234,0.234
abdullah_al_khaibari__ksa,Abdullah Al-Khaibari,KSA,MID,121,24,0.0891,0.0891,0.45,0.198,0.198
abdulrahman_al_sanbi__ksa,Abdulrahman Al-Sanbi,KSA,GK,25,3,0.054,0.054,0.45,0.12,0.12
abduvokhid_nematov__uzb,Abduvokhid Nematov,UZB,GK,67,14,0.094,0.094,0.45,0.2089,0.2089
abolfazl_jalali__irn,Abolfazl Jalali,IRN,DEF,58,3,0.0234,0.0234,0.45,0.052,0.052
achraf_hakimi__mar,Achraf Hakimi,MAR,DEF,159,88,0.2488,0.2488,0.45,0.5529,0.5529
achref_abada__alg,Achref Abada,ALG,DEF,25,7,0.126,0.126,0.45,0.28,0.28
adalberto_carrasquilla__pan,Adalberto Carrasquilla,PAN,MID,117,59,0.2268,0.2268,0.45,0.504,0.504
adam_karabec__cze,Adam Karabec,CZE,MID,8,2,0.1125,0.1125,0.45,0.25,0.25
adem_arous__tun,Adem Arous,TUN,DEF,8,1,0.0562,0.0562,0.45,0.1249,0.1249
adil_aouchiche__alg,Adil Aouchiche,ALG,MID,2,0,0.0,0.0,0.45,0.0,0.0
adil_boulbina__alg,Adil Boulbina,ALG,FWD,25,5,0.09,0.09,0.45,0.2,0.2
adrien_rabiot__fra,Adrien Rabiot,FRA,MID,120,48,0.18,0.18,0.45,0.4,0.4
agust_n_lvarez__uru,Agustin Alvarez,URU,FWD,58,3,0.0234,0.0234,0.45,0.052,0.052
ahmad_assaf__jor,Ahmad Assaf,JOR,DEF,18,4,0.0999,0.0999,0.45,0.222,0.222
ahmed_basil_fadhil__irq,Ahmed Basil Fadhil,IRQ,GK,63,14,0.0999,0.0999,0.45,0.222,0.222
ahmed_fathi__qat,Ahmed Fathi,QAT,MID,228,119,0.2349,0.2349,0.45,0.522,0.522
ahmed_fatouh__egy,Ahmed Fatouh,EGY,DEF,90,33,0.1652,0.1652,0.45,0.3671,0.3671
ahmed_hasan_maknzi__irq,Ahmed Hasan Maknzi,IRQ,DEF,21,5,0.1071,0.1071,0.45,0.238,0.238
