date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
01/06/26,46,home,3383,3670,1:0,8,FS,played,0,0,0,01/06/26 | FS | club:3383 | opponent:3670 | 1:0 | played | 45',False,False,True,45.0,True,romano_schmid__aut,Romano Schmid,AUT,MID,346853,https://www.transfermarkt.de/romano-schmid/nationalmannschaft/spieler/346853/verein_id/3383
31/03/26,46,home,3383,3589,1:0,,FS,played,0,0,0,31/03/26 | FS | club:3383 | opponent:3589 | 1:0 | played | 12',False,False,True,12.0,False,romano_schmid__aut,Romano Schmid,AUT,MID,346853,https://www.transfermarkt.de/romano-schmid/nationalmannschaft/spieler/346853/verein_id/3383
27/03/26,46,home,3383,3441,5:1,8,FS,played,0,0,0,27/03/26 | FS | club:3383 | opponent:3441 | 5:1 | played | 45',False,False,True,45.0,True,romano_schmid__aut,Romano Schmid,AUT,MID,346853,https://www.transfermarkt.de/romano-schmid/nationalmannschaft/spieler/346853/verein_id/3383
18/11/25,10,home,3383,3446,1:1,10,WMQ6,played,0,0,0,18/11/25 | WMQ6 | club:3383 | opponent:3446 | 1:1 | played | 22',False,False,True,22.0,False,romano_schmid__aut,Romano Schmid,AUT,MID,346853,https://www.transfermarkt.de/romano-schmid/nationalmannschaft/spieler/346853/verein_id/3383
15/11/25,9,away,3383,3668,2:0,8,WMQ6,played,0,0,0,15/11/25 | WMQ6 | club:3383 | opponent:3668 | 2:0 | played | 90',False,False,True,90.0,True,romano_schmid__aut,Romano Schmid,AUT,MID,346853,https://www.transfermarkt.de/romano-schmid/nationalmannschaft/spieler/346853/verein_id/3383
12/10/25,8,away,3383,3447,0:1,8,WMQ6,played,0,0,1,12/10/25 | WMQ6 | club:3383 | opponent:3447 | 0:1 | played | 86',False,False,True,86.0,True,romano_schmid__aut,Romano Schmid,AUT,MID,346853,https://www.transfermarkt.de/romano-schmid/nationalmannschaft/spieler/346853/verein_id/3383
09/10/25,7,home,3383,10521,10:0,8,WMQ6,played,1,1,0,09/10/25 | WMQ6 | club:3383 | opponent:10521 | 10:0 | played | 90',False,False,True,90.0,True,romano_schmid__aut,Romano Schmid,AUT,MID,346853,https://www.transfermarkt.de/romano-schmid/nationalmannschaft/spieler/346853/verein_id/3383
09/09/25,6,away,3383,3446,2:1,10,WMQ6,played,0,0,0,09/09/25 | WMQ6 | club:3383 | opponent:3446 | 2:1 | played | 62',False,False,True,62.0,True,romano_schmid__aut,Romano Schmid,AUT,MID,346853,https://www.transfermarkt.de/romano-schmid/nationalmannschaft/spieler/346853/verein_id/3383
06/09/25,5,home,3383,3668,1:0,10,WMQ6,played,0,0,0,06/09/25 | WMQ6 | club:3383 | opponent:3668 | 1:0 | played | 45',False,False,True,45.0,False,romano_schmid__aut,Romano Schmid,AUT,MID,346853,https://www.transfermarkt.de/romano-schmid/nationalmannschaft/spieler/346853/verein_id/3383
10/06/25,4,away,3383,10521,4:0,7,WMQ6,played,0,0,0,10/06/25 | WMQ6 | club:3383 | opponent:10521 | 4:0 | played | 45',False,False,True,45.0,False,romano_schmid__aut,Romano Schmid,AUT,MID,346853,https://www.transfermarkt.de/romano-schmid/nationalmannschaft/spieler/346853/verein_id/3383
