date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
18/11/25,10,home,3375,3381,2:2,,WMQ6,played,0,0,0,18/11/25 | WMQ6 | club:3375 | opponent:3381 | 2:2 | played | 28',False,False,True,28.0,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
15/11/25,9,away,3375,3669,4:0,,WMQ6,not in squad,0,0,0,15/11/25 | WMQ6 | club:3375 | opponent:3669 | 4:0 | not in squad,True,False,False,,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
14/10/25,8,home,3375,3394,4:0,14,WMQ6,played,0,0,0,14/10/25 | WMQ6 | club:3375 | opponent:3394 | 4:0 | played | 45',False,False,True,45.0,True,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
11/10/25,7,home,3375,3669,2:0,,WMQ6,in squad,0,0,0,11/10/25 | WMQ6 | club:3375 | opponent:3669 | 2:0 | in squad,False,False,False,,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
07/09/25,6,away,3375,3381,6:0,,WMQ6,not in squad,0,0,0,07/09/25 | WMQ6 | club:3375 | opponent:3381 | 6:0 | not in squad,True,False,False,,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
04/09/25,5,away,3375,3394,3:0,,WMQ6,not in squad,0,0,0,04/09/25 | WMQ6 | club:3375 | opponent:3394 | 3:0 | not in squad,True,False,False,,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
08/06/25,5,away,3375,3300,5:7,,UNFI,in squad,0,0,0,08/06/25 | UNFI | club:3375 | opponent:3300 | 5:7 | in squad,False,False,False,,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
05/06/25,3,away,3375,3377,5:4,14,UNFI,played,0,0,0,05/06/25 | UNFI | club:3375 | opponent:3377 | 5:4 | played | 13',False,False,True,13.0,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
23/03/25,2,home,3375,3379,8:7,,UNFI,in squad,0,0,0,23/03/25 | UNFI | club:3375 | opponent:3379 | 8:7 | in squad,False,False,False,,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
20/03/25,1,away,3375,3379,2:2,,UNFI,in squad,0,0,0,20/03/25 | UNFI | club:3375 | opponent:3379 | 2:2 | in squad,False,False,False,,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
18/11/24,6,home,3375,3384,3:2,14,UNLA,played,0,0,0,18/11/24 | UNLA | club:3375 | opponent:3384 | 3:2 | played | 45',False,False,True,45.0,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
15/11/24,5,away,3375,3436,2:1,,UNLA,in squad,0,0,0,15/11/24 | UNLA | club:3375 | opponent:3436 | 2:1 | in squad,False,False,False,,False,samuel_aghehowa__esp,Samuel Aghehowa,ESP,FWD,991268,https://www.transfermarkt.de/samu-aghehowa/nationalmannschaft/spieler/991268/verein_id/3375
