formation,player_id,player_name,team_id,position,price_m,model_start_share,model_start_pct,team_market_score,winner_odds,optimizer_ev_adj,tm_caps,tm_goals,tm_recent_20_start_share,tm_recent_10_start_share,tm_recent_20_on_bench,tm_recent_20_not_in_squad,tm_usage_score,tm_last_national_row_date,tm_url,tm_weighted_competitive_start_score,tm_recency_weighted_competitive_start_score,tm_finals_start_share,tm_qualification_start_share,tm_nations_league_start_share,tm_friendly_start_share,tm_finals_recency_start_share,tm_qualification_recency_start_share,tm_nations_league_recency_start_share,tm_friendly_recency_start_share,tm_injury_or_fitness_absences,tm_suspension_absences,tm_not_selected_or_unknown_absences,manual_note,watch_flag,watch_reason
3-4-3,mike_maignan__fra,Mike Maignan,FRA,GK,5.0,0.98,98.0,0.7872569444444444,7.0,17.043603112599207,39.0,0.0,0.9,0.8,0,0,0.851,2026-06-04,https://www.transfermarkt.de/mike-maignan/nationalmannschaft/spieler/182906/verein_id/3377,0.4369,0.4369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,,JA,"Model-start høj, men recency-vægtet konkurrencesignal er lavt"
3-4-3,gonzalo_montiel__arg,Gonzalo Montiel,ARG,DEF,3.5,0.45,45.0,0.7259181808688386,9.0,11.209008754307643,38.0,2.0,0.3,0.2,0,8,0.367,2026-03-31,https://www.transfermarkt.de/gonzalo-montiel/nationalmannschaft/spieler/402733/verein_id/3437,0.292,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,17.0,,JA,Ofte ikke i trup seneste 20; Flere fravær uden skade-/karantæneforklaring og svagt nyere usage-signal
3-4-3,lucas_digne__fra,Lucas Digne,FRA,DEF,3.5,0.742,74.2,0.7872569444444444,7.0,12.623153112599205,57.0,0.0,0.45,0.5,0,2,0.5725,2026-06-04,https://www.transfermarkt.de/lucas-digne/nationalmannschaft/spieler/126664/verein_id/3377,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,50.0,,JA,"Model-start høj, men nyere landsholdsbrug er usikker/lav; Model-start høj, men recency-vægtet konkurrencesignal er lavt"
3-4-3,renato_veiga__por,Renato Veiga,POR,DEF,3.5,0.677,67.7,0.6303224206349205,12.0,11.146203137400793,11.0,1.0,0.389,0.3,0,1,0.333,2026-03-31,https://www.transfermarkt.de/renato-veiga/nationalmannschaft/spieler/805714/verein_id/3300,0.3889,0.3889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,JA,Relativt få landskampe ift. høj model-start
3-4-3,casemiro__bra,Casemiro,BRA,MID,4.5,0.902,90.2,0.7698859126984127,9.0,15.626483891369048,85.0,9.0,0.5,0.9,0,10,0.7,2026-05-31,https://www.transfermarkt.de/casemiro/nationalmannschaft/spieler/16306/verein_id/3439,0.398,0.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,76.0,,JA,"Model-start høj, men recency-vægtet konkurrencesignal er lavt; Ofte ikke i trup seneste 20"
3-4-3,alex_baena__esp,Alex Baena,ESP,MID,3.5,0.47,47.0,0.9759615384615384,5.5,13.277568750000002,16.0,2.0,0.3,0.4,0,6,0.329,2026-06-04,https://www.transfermarkt.de/alex-baena/nationalmannschaft/spieler/548111/verein_id/3375,0.1889,0.1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,,JA,Ofte ikke i trup seneste 20; Flere fravær uden skade-/karantæneforklaring og svagt nyere usage-signal
3-4-3,mart_n_zubimendi__esp,Martin Zubimendi,ESP,MID,3.5,0.883,88.3,0.9759615384615384,5.5,14.739068750000001,25.0,3.0,0.65,0.5,0,4,0.5825,2026-06-04,https://www.transfermarkt.de/martin-zubimendi/nationalmannschaft/spieler/423440/verein_id/3375,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,JA,"Model-start høj, men recency-vægtet konkurrencesignal er lavt; Ofte ikke i trup seneste 20"
3-4-3,manu_kon__fra,Manu Koné,FRA,MID,3.5,0.74,74.0,0.7872569444444444,7.0,12.887878038194444,13.0,0.0,0.474,0.4,0,4,0.4127,2026-06-04,https://www.transfermarkt.de/manu-kone/nationalmannschaft/spieler/624690/verein_id/3377,0.474,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,JA,"Model-start høj, men samlet Transfermarkt-usage lav; Model-start høj, men nyere landsholdsbrug er usikker/lav; Model-start høj, men recency-vægtet konkurrencesignal er lavt; Ofte ikke i trup seneste 20; Relativt få landskampe ift. høj model-start"
3-4-3,vinicius_j_nior__bra,Vinicius Junior,BRA,FWD,7.5,0.851,85.1,0.7698859126984127,9.0,21.610583891369046,48.0,9.0,0.75,0.8,0,5,0.8045,2026-05-31,https://www.transfermarkt.de/vinicius-junior/nationalmannschaft/spieler/371998/verein_id/3439,0.5071,0.5071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,,,
3-4-3,mikel_oyarzabal__esp,Mikel Oyarzabal,ESP,FWD,7.5,0.779,77.9,0.9759615384615384,5.5,22.31116875,52.0,24.0,0.65,0.7,0,4,0.7325,2026-06-04,https://www.transfermarkt.de/mikel-oyarzabal/nationalmannschaft/spieler/351478/verein_id/3375,0.2049,0.2049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,52.0,,JA,"Model-start høj, men recency-vægtet konkurrencesignal er lavt; Ofte ikke i trup seneste 20"
