date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
03/06/26,18,away,9171,14161,0:4,3,FS,played,0,0,0,03/06/26 | FS | club:9171 | opponent:14161 | 0:4 | played | 45',False,False,True,45.0,True,tyler_bindon__nzl,Tyler Bindon,NZL,DEF,1007720,https://www.transfermarkt.de/tyler-bindon/nationalmannschaft/spieler/1007720/verein_id/9171
30/03/26,14,home,9171,3700,4:1,3,FS,played,0,0,0,30/03/26 | FS | club:9171 | opponent:3700 | 4:1 | played | 90',False,False,True,90.0,True,tyler_bindon__nzl,Tyler Bindon,NZL,DEF,1007720,https://www.transfermarkt.de/tyler-bindon/nationalmannschaft/spieler/1007720/verein_id/9171
27/03/26,50,home,9171,3443,0:2,3,FS,played,0,0,0,27/03/26 | FS | club:9171 | opponent:3443 | 0:2 | played | 90',False,False,True,90.0,True,tyler_bindon__nzl,Tyler Bindon,NZL,DEF,1007720,https://www.transfermarkt.de/tyler-bindon/nationalmannschaft/spieler/1007720/verein_id/9171
19/11/25,6,away,9171,5750,0:2,3,FS,played,0,0,0,19/11/25 | FS | club:9171 | opponent:5750 | 0:2 | played | 90',False,False,True,90.0,True,tyler_bindon__nzl,Tyler Bindon,NZL,DEF,1007720,https://www.transfermarkt.de/tyler-bindon/nationalmannschaft/spieler/1007720/verein_id/9171
16/11/25,6,away,9171,3816,1:2,3,FS,in squad,0,0,0,16/11/25 | FS | club:9171 | opponent:3816 | 1:2 | in squad,False,False,False,,False,tyler_bindon__nzl,Tyler Bindon,NZL,DEF,1007720,https://www.transfermarkt.de/tyler-bindon/nationalmannschaft/spieler/1007720/verein_id/9171
14/10/25,4,away,9171,3440,1:1,,FS,played,0,0,0,14/10/25 | FS | club:9171 | opponent:3440 | 1:1 | played | 4',False,False,True,4.0,False,tyler_bindon__nzl,Tyler Bindon,NZL,DEF,1007720,https://www.transfermarkt.de/tyler-bindon/nationalmannschaft/spieler/1007720/verein_id/9171
09/10/25,45,away,9171,3442,0:1,,FS,in squad,0,0,0,09/10/25 | FS | club:9171 | opponent:3442 | 0:1 | in squad,False,False,False,,False,tyler_bindon__nzl,Tyler Bindon,NZL,DEF,1007720,https://www.transfermarkt.de/tyler-bindon/nationalmannschaft/spieler/1007720/verein_id/9171
09/09/25,2,home,9171,3433,1:3,3,FS,played,0,0,1,09/09/25 | FS | club:9171 | opponent:3433 | 1:3 | played | 90',False,False,True,90.0,True,tyler_bindon__nzl,Tyler Bindon,NZL,DEF,1007720,https://www.transfermarkt.de/tyler-bindon/nationalmannschaft/spieler/1007720/verein_id/9171
05/09/25,1,away,9171,3433,0:1,3,FS,played,0,0,0,05/09/25 | FS | club:9171 | opponent:3433 | 0:1 | played | 90',False,False,True,90.0,True,tyler_bindon__nzl,Tyler Bindon,NZL,DEF,1007720,https://www.transfermarkt.de/tyler-bindon/nationalmannschaft/spieler/1007720/verein_id/9171
10/06/25,46,away,9171,3699,1:2,5,FS,played,0,0,1,10/06/25 | FS | club:9171 | opponent:3699 | 1:2 | played | 81',False,False,True,81.0,True,tyler_bindon__nzl,Tyler Bindon,NZL,DEF,1007720,https://www.transfermarkt.de/tyler-bindon/nationalmannschaft/spieler/1007720/verein_id/9171
