date,matchday,venue,for_team,opponent,result,position,competition,participation_state,goals,assists,yellow_cards,row_text,was_not_in_squad,was_on_bench,has_position,minutes_estimate,started_estimate,player_id,player_name,team_id,position_model,transfermarkt_player_id,source_url
31/05/26,42,neutral,3807,5750,1:2,,FS,not in squad,0,0,0,31/05/26 | FS | club:3807 | opponent:5750 | 1:2 | not in squad,True,False,False,,False,ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,901079,https://www.transfermarkt.de/ziyad-al-johani/nationalmannschaft/spieler/901079/verein_id/3807
31/03/26,8,away,3807,3438,1:2,6,FS,played,0,0,0,31/03/26 | FS | club:3807 | opponent:3438 | 1:2 | played | 72',False,False,True,72.0,True,ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,901079,https://www.transfermarkt.de/ziyad-al-johani/nationalmannschaft/spieler/901079/verein_id/3807
27/03/26,42,home,3807,3672,0:4,,FS,played,0,0,0,27/03/26 | FS | club:3807 | opponent:3672 | 0:4 | played | 3',False,False,True,3.0,False,ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,901079,https://www.transfermarkt.de/ziyad-al-johani/nationalmannschaft/spieler/901079/verein_id/3807
18/12/25,6,home,3807,5147,0:0,,ARCP,absent,0,0,0,18/12/25 | ARCP | club:3807 | opponent:5147 | 0:0 | absent,True,False,False,,False,ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,901079,https://www.transfermarkt.de/ziyad-al-johani/nationalmannschaft/spieler/901079/verein_id/3807
15/12/25,5,away,3807,15737,0:1,,ARCP,absent,0,0,0,15/12/25 | ARCP | club:3807 | opponent:15737 | 0:1 | absent,True,False,False,,False,ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,901079,https://www.transfermarkt.de/ziyad-al-johani/nationalmannschaft/spieler/901079/verein_id/3807
11/12/25,4,away,3807,17758,2:1,,ARCP,absent,0,0,0,11/12/25 | ARCP | club:3807 | opponent:17758 | 2:1 | absent,True,False,False,,False,ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,901079,https://www.transfermarkt.de/ziyad-al-johani/nationalmannschaft/spieler/901079/verein_id/3807
08/12/25,3,away,3807,3575,0:1,,ARCP,absent,0,0,0,08/12/25 | ARCP | club:3807 | opponent:3575 | 0:1 | absent,True,False,False,,False,ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,901079,https://www.transfermarkt.de/ziyad-al-johani/nationalmannschaft/spieler/901079/verein_id/3807
05/12/25,2,away,3807,16430,3:1,,ARCP,absent,0,0,0,05/12/25 | ARCP | club:3807 | opponent:16430 | 3:1 | absent,True,False,False,,False,ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,901079,https://www.transfermarkt.de/ziyad-al-johani/nationalmannschaft/spieler/901079/verein_id/3807
02/12/25,1,neutral,3807,14165,2:1,,ARCP,absent,0,0,0,02/12/25 | ARCP | club:3807 | opponent:14165 | 2:1 | absent,True,False,False,,False,ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,901079,https://www.transfermarkt.de/ziyad-al-johani/nationalmannschaft/spieler/901079/verein_id/3807
18/11/25,6,home,3807,3614,0:2,,FS,in squad,0,0,0,18/11/25 | FS | club:3807 | opponent:3614 | 0:2 | in squad,False,False,False,,False,ziyad_al_johani__ksa,Ziyad Al-Johani,KSA,MID,901079,https://www.transfermarkt.de/ziyad-al-johani/nationalmannschaft/spieler/901079/verein_id/3807
