player_name,top_assists_odds,source,source_date
Bruno Fernandes,11.00,Unibet,2026-06-09
Michael Olise,11.00,Unibet,2026-06-09
Lamine Yamal,13.00,Unibet,2026-06-09
Lionel Messi,13.00,Unibet,2026-06-09
J?r?my Doku,15.00,Unibet,2026-06-09
Vin?cius J?nior,15.00,Unibet,2026-06-09
Florian Wirtz,21.00,Unibet,2026-06-09
Kevin De Bruyne,21.00,Unibet,2026-06-09
Kylian Mbapp?,21.00,Unibet,2026-06-09
Nico Williams,26.00,Unibet,2026-06-09
Ousmane Demb?l?,26.00,Unibet,2026-06-09
Raphinha,26.00,Unibet,2026-06-09
Rayan Cherki,26.00,Unibet,2026-06-09
Bukayo Saka,29.00,Unibet,2026-06-09
Mikel Oyarzabal,29.00,Unibet,2026-06-09
Dani Olmo,34.00,Unibet,2026-06-09
Declan Rice,34.00,Unibet,2026-06-09
D?sir? Dou?,34.00,Unibet,2026-06-09
Fabi?n Ruiz,34.00,Unibet,2026-06-09
Jamal Musiala,34.00,Unibet,2026-06-09
Pedri,34.00,Unibet,2026-06-09
Ferran Torres,41.00,Unibet,2026-06-09
Jude Bellingham,41.00,Unibet,2026-06-09
Juli?n ?lvarez,41.00,Unibet,2026-06-09
Leroy San?,41.00,Unibet,2026-06-09
Matheus Cunha,41.00,Unibet,2026-06-09
Morgan Rogers,41.00,Unibet,2026-06-09
Neymar,41.00,Unibet,2026-06-09
Bernardo Silva,51.00,Unibet,2026-06-09
Bradley Barcola,51.00,Unibet,2026-06-09
Gabriel Martinelli,51.00,Unibet,2026-06-09
Harry Kane,51.00,Unibet,2026-06-09
Joshua Kimmich,51.00,Unibet,2026-06-09
Julian Ryerson,51.00,Unibet,2026-06-09
Kai Havertz,51.00,Unibet,2026-06-09
Luis Henrique,51.00,Unibet,2026-06-09
Marcus Rashford,51.00,Unibet,2026-06-09
Pedro Neto,51.00,Unibet,2026-06-09
Anthony Gordon,67.00,Unibet,2026-06-09
Arda G?ler,67.00,Unibet,2026-06-09
Bruno Guimar?es,67.00,Unibet,2026-06-09
Charles De Ketelaere,67.00,Unibet,2026-06-09
Cody Gakpo,67.00,Unibet,2026-06-09
Cristiano Ronaldo,67.00,Unibet,2026-06-09
Endrick Moreira de Sousa,67.00,Unibet,2026-06-09
Enzo Fern?ndez,67.00,Unibet,2026-06-09
James Rodr?guez,67.00,Unibet,2026-06-09
Lautaro Mart?nez,67.00,Unibet,2026-06-09
Leandro Trossard,67.00,Unibet,2026-06-09
Luis D?az,67.00,Unibet,2026-06-09
Martin ?degaard,67.00,Unibet,2026-06-09
Memphis Depay,67.00,Unibet,2026-06-09
Rodrigo De Paul,67.00,Unibet,2026-06-09
Vitinha,67.00,Unibet,2026-06-09
Alex Baena,67.00,Unibet,2026-06-09
Lucas Digne,81.00,Unibet,2026-06-09
Achraf Hakimi,101.00,Unibet,2026-06-09
Christian Pulisic,101.00,Unibet,2026-06-09
Donyell Malen,101.00,Unibet,2026-06-09
Eberechi Eze,101.00,Unibet,2026-06-09
Elliot Anderson,101.00,Unibet,2026-06-09
Frenkie de Jong,101.00,Unibet,2026-06-09
Jo?o Neves,101.00,Unibet,2026-06-09
Leon Goretzka,101.00,Unibet,2026-06-09
Mohamed Salah,101.00,Unibet,2026-06-09
