player_name,team_id,search_alias
Juan 'Cucho' Hernandez,COL,Cucho Hernandez
Juan 'Cucho' Hernandez,COL,Cucho Hernández
Juan 'Cucho' Hernandez,COL,Juan Camilo Hernandez
Pablo Gavi,ESP,Gavi
Pablo Gavi,ESP,Pablo Martin Paez Gavira
Pablo Gavi,ESP,Pablo Martín Páez Gavira
Marc Pubill,ESP,Marc Pubill
Marc Pubill,ESP,Marc Pubill Pages
Marc Pubill,ESP,Marc Pubill Pagès
David 'Junior' Hoilett,CAN,Junior Hoilett
David 'Junior' Hoilett,CAN,David Hoilett
David 'Junior' Hoilett,CAN,David Wayne Hoilett
Alexander 'Alex' Robertson,AUS,Alex Robertson
Alexander 'Alex' Robertson,AUS,Alexander Robertson
Nabil 'Dunga' Emad,EGY,Nabil Emad
Nabil 'Dunga' Emad,EGY,Dunga
Mohamed 'Hadj' Mahmoud,TUN,Mohamed Mahmoud
Mohamed 'Hadj' Mahmoud,TUN,Mohamed Hadj Mahmoud
Mohammad Abu 'Shararh' Zrayq,JOR,Mohammad Abu Zrayq
Mohammad Abu 'Shararh' Zrayq,JOR,Mohammad Zrayq
Ange-Yoan Bonny,CIV,Ange Yoan Bonny
Ange-Yoan Bonny,CIV,Yoan Bonny
Matias Fernandez-Pardo,BEL,Matias Fernandez Pardo
Matias Fernandez-Pardo,BEL,Matías Fernández-Pardo
Carlos Rodriguez,MEX,Carlos Rodríguez
CJ Dos Santos,CPV,CJ dos Santos
CJ Dos Santos,CPV,Chituru Odunze
Joao Paulo,CPV,João Paulo
Mohamed 'Hadj' Mahmoud,TUN,Hadj Mahmoud
Oguz Aydin,TUR,Oğuz Aydın
Oguz Aydin,TUR,Oguz Aydin
